Source,Target,Weight
unfree,world,1

world,has,1

has,vanished,1

despite,all,1

all,of,1

of,these,1

these,challengesand,1

challengesand,actually,1

actually,because,1

because,of,1

of,the,1

the,challengesi,1

challengesi,decided,1

decided,to,1

to,do,1

do,something,1

something,about,1

about,it,1

it,i,1

i,couldnt,1

couldnt,stand,1

stand,to,1

to,see,1

see,what,1

what,was,1

was,happening,1

happening,to,1

to,our,1

our,great,1

great,country,1

country,this,1

this,mess,1

mess,calls,1

calls,for,1

for,leadership,1

leadership,in,1

in,the,1

the,worst,1

worst,way,1

way,it,1

it,needs,1

needs,someone,1

someone,with,1

with,common,1

common,sense,1

sense,and,1

and,business,1

business,acumen,1

acumen,someone,1

someone,who,1

who,can,1

can,truly,1

truly,lead,1

lead,america,1

america,back,1

back,to,1

to,what,1

what,has,1

has,made,1

made,us,1

us,great,1

great,in,1

in,the,1

the,past,1

we,need,1

need,someone,1

someone,with,1

with,a,1

a,proven,1

proven,track,1

track,record,1

record,in,1

in,business,1

business,who,1

who,understands,1

understands,greatness,1

greatness,someone,1

someone,who,1

who,can,1

can,rally,1

rally,us,1

us,to,1

to,the,1

the,standard,1

standard,of,1

of,excellence,1

excellence,we,1

we,once,1

once,epitomized,1

epitomized,and,1

and,explain,1

explain,what,1

what,needs,1

needs,to,1

to,be,1

be,done,1

when,i,1

i,started,1

started,speaking,1

speaking,out,1

out,i,1

i,had,1

had,no,1

no,idea,1

idea,what,1

what,the,1

the,reaction,1

reaction,would,1

would,be,1

be,i,1

i,know,1

know,im,1

im,a,1

a,great,1

great,builder,1

builder,ive,1

ive,built,1

built,buildings,1

buildings,all,1

all,over,1

over,the,1

the,world,1

world,ive,1

ive,had,1

had,tremendous,1

tremendous,success,1

success,but,1

but,i,1

i,hadnt,1

hadnt,fully,1

fully,exposed,1

exposed,my,1

my,political,1

political,thoughts,1

thoughts,and,1

and,ideas,1

ideas,to,1

to,restore,1

restore,americas,1

americas,greatness,1

i,also,1

also,knew,1

knew,that,1

that,the,1

the,trump,1

trump,brand,1

brand,is,1

is,one,1

one,of,1

of,the,1

the,worlds,1

worlds,great,1

great,icons,1

icons,of,1

